time,east,north,up,accuracy_latitude,accuracy_longitude,accuracy_altitude
1707822196.8,0.0,0.0,0.0,0.0215,0.0248,0.0188
1707822196.9,-0.03050521423503031,0.051462145297755134,0.0020999999999986585,0.0215,0.0248,0.0188
1707822197.0,-0.06167237578432954,0.1028708931578895,0.0040000000000048885,0.0272,0.0311,0.0221
1707822197.1,-0.09464862567800325,0.15358213283169111,0.004599999999996385,0.0214,0.0246,0.019
1707822197.2,-0.12941776725807252,0.20375828217393063,0.004300000000000637,0.0214,0.0246,0.019
1707822197.3,-0.16616570913552314,0.25335595479353,0.0027999999999934744,0.0214,0.0246,0.019
1707822197.4,-0.20430092397793834,0.3028212448209204,0.0007999999999981355,0.0214,0.0246,0.019
1707822197.5,-0.2429290783013632,0.3526914681295722,-0.0011000000000080945,0.0214,0.0246,0.019
1707822197.6,-0.281385407920583,0.4030823203470712,-0.0024999999999977263,0.0214,0.0246,0.019
1707822197.7,-0.31899388155855446,0.4544243210563573,-0.0030000000000001137,0.0214,0.0246,0.019
1707822197.8,-0.35545803109335994,0.5065483764845795,-0.002600000000001046,0.0214,0.0246,0.019
1707822197.9,-0.39090320411845325,0.5591519020954127,-0.0011999999999972033,0.0214,0.0246,0.019
1707822198.0,-0.4259772640413227,0.6120535639893322,0.0005999999999914962,0.0269,0.0309,0.0222
1707822198.1,-0.4614372252049315,0.6645825534064603,0.0024999999999977263,0.0215,0.0242,0.0192
1707822198.2,-0.49811897232295843,0.7163506247378032,0.0036999999999949296,0.0215,0.0242,0.0192
1707822198.3,-0.5367252965264807,0.7673878132459224,0.0037999999999982492,0.0215,0.0242,0.0192
1707822198.4,-0.5771512719904645,0.8177508550351237,0.0030000000000001137,0.0215,0.0242,0.0192
1707822198.5,-0.6189088884080953,0.8677801589471503,0.0014000000000038426,0.0215,0.0242,0.0192
1707822198.6,-0.6612129636228488,0.9175291259578457,-0.0006000000000057071,0.0215,0.0242,0.0192
1707822198.7,-0.702871288069325,0.9669376805885751,-0.0023999999999944066,0.0215,0.0242,0.0192
1707822198.8,-0.7429395301621243,1.0162416644706822,-0.003200000000006753,0.0215,0.0242,0.0192
1707822198.9,-0.7815683887172841,1.065599047205699,-0.002899999999996794,0.0215,0.0242,0.0192
1707822199.0,-0.8191768622432684,1.1154492470059765,-0.001599999999996271,0.027,0.0304,0.0224
1707822199.1,-0.8567113949646877,1.1659913921992826,0.00019999999999242846,0.0216,0.0237,0.0194
1707822199.2,-0.8949853370196089,1.217292232059399,0.0016999999999995907,0.0216,0.0237,0.0194
1707822199.3,-0.9344923321767702,1.2688934351597991,0.002600000000001046,0.0216,0.0237,0.0194
1707822199.4,-0.9751549185849194,1.3202276489491618,0.0027000000000043656,0.0216,0.0237,0.0194
1707822199.5,-1.0169991516423813,1.3704872316992283,0.0018999999999920192,0.0216,0.0237,0.0194
1707822199.6,-1.0592997058664413,1.4193896202591143,0.0006999999999948159,0.0216,0.0237,0.0194
1707822199.7,-1.1015467409423692,1.4670271480813464,-0.00039999999999906777,0.0216,0.0237,0.0194
1707822199.8,-1.1434677316753419,1.5140817488047664,-0.0011999999999972033,0.0216,0.0237,0.0194
1707822199.9,-1.1846162157510944,1.5615323834723924,-0.0015000000000071623,0.0216,0.0237,0.0194
1707822200.0,-1.224983742612783,1.6101099349074481,-0.0011000000000080945,0.0271,0.0298,0.0226
1707822200.1,-1.264633690316866,1.6599623595419892,-0.00010000000000331966,0.0217,0.0233,0.0195
1707822200.2,-1.304242794428115,1.7106135265677342,0.0010000000000047748,0.0217,0.0233,0.0195
1707822200.3,-1.3442089276228202,1.7611156247442914,0.001599999999996271,0.0217,0.0233,0.0195
1707822200.4,-1.384475753937897,1.8109524748313413,0.0020999999999986585,0.0217,0.0233,0.0195
1707822200.5,-1.4256002951425486,1.8591395544078506,0.0020999999999986585,0.0217,0.0233,0.0195
1707822200.6,-1.4673719956909346,1.905443249507317,0.001599999999996271,0.0217,0.0233,0.0195
1707822200.7,-1.5091817229612086,1.9501761571278973,0.0010999999999938836,0.0217,0.0233,0.0195
1707822200.8,-1.5507520224163711,1.9935173856272081,0.0005000000000023874,0.0217,0.0233,0.0195
1707822200.9,-1.5918850140098861,2.0365471260072714,0.00010000000000331966,0.0217,0.0233,0.0195
1707822201.0,-1.6321257850386255,2.0796436142458274,0.00039999999999906777,0.0272,0.0293,0.0228
1707822201.1,-1.6721383953440818,2.123150598558949,0.0011999999999972033,0.0221,0.0224,0.0198
1707822201.2,-1.712093261390965,2.166997993836748,0.0024999999999977263,0.0221,0.0224,0.0198
1707822201.3,-1.7522523452340364,2.2106885326377905,0.0040000000000048885,0.0221,0.0224,0.0198
1707822201.4,-1.7935170221706576,2.2538595542394737,0.0053000000000054115,0.0221,0.0224,0.0198
1707822201.5,-1.8360168648487298,2.295575486820435,0.005700000000004479,0.0221,0.0224,0.0198
1707822201.6,-1.8798673619533803,2.335683921449512,0.005200000000002092,0.0221,0.0224,0.0198
1707822201.7,-1.9246833164756048,2.373862247959073,0.0036999999999949296,0.0221,0.0224,0.0198
1707822201.8,-1.969816864951921,2.4108001883231713,0.001999999999995339,0.0221,0.0224,0.0198
1707822201.9,-2.014715210835554,2.447167439592197,0.0006999999999948159,0.0221,0.0224,0.0198
1707822202.0,-2.059541728385853,2.4836370353602923,0.00010000000000331966,0.0276,0.0282,0.0231
1707822202.1,-2.1042626159353763,2.5206784340558808,0.0002999999999957481,0.0227,0.0205,0.0203
1707822202.2,-2.1492475783468534,2.5585018874704053,0.0014999999999929514,0.0227,0.0205,0.0203
1707822202.3,-2.195320528786425,2.596624591708082,0.002899999999996794,0.0227,0.0205,0.0203
1707822202.4,-2.2428737064684574,2.634545941368437,0.004300000000000637,0.0227,0.0205,0.0203
1707822202.5,-2.2921732986701406,2.671709708779114,0.005099999999998772,0.0227,0.0205,0.0203
1707822202.6,-2.343058043603356,2.7072570810237853,0.005200000000002092,0.0227,0.0205,0.0203
1707822202.7,-2.3952561205289906,2.7413693863408195,0.004899999999992133,0.0227,0.0205,0.0203
1707822202.8,-2.4485421855387135,2.7733980636053333,0.0037999999999982492,0.0227,0.0205,0.0203
1707822202.9,-2.5019620484747596,2.803418762135808,0.002300000000005298,0.0227,0.0205,0.0203
1707822203.0,-2.5540932264092358,2.832070027764717,0.001300000000000523,0.0283,0.026,0.0236
1707822203.1,-2.605154021381072,2.8591449459520146,0.0005000000000023874,0.0235,0.0173,0.0208
1707822203.2,-2.654727547129061,2.8856180266569016,0.0005999999999914962,0.0235,0.0173,0.0208
1707822203.3,-2.70302295084756,2.9119164507956334,0.0014999999999929514,0.0235,0.0173,0.0208
1707822203.4,-2.7507831630847392,2.9376397368784097,0.0027999999999934744,0.0235,0.0173,0.0208
1707822203.5,-2.7982476116557105,2.9629213784992827,0.004199999999997317,0.0235,0.0173,0.0208
1707822203.6,-2.845577558068623,2.9878069861759493,0.00560000000000116,0.0235,0.0173,0.0208
1707822203.7,-2.893359600481699,3.0119984215023905,0.006699999999995043,0.0235,0.0173,0.0208
1707822203.8,-2.941254314876937,3.03477036515633,0.0069000000000016826,0.0235,0.0173,0.0208
1707822203.9,-2.9875737351130067,3.057057280080222,0.00730000000000075,0.0235,0.0173,0.0208
1707822204.0,-3.033079100867288,3.0772817028770993,0.006399999999999295,0.0292,0.0224,0.0241
1707822204.1,-3.077211981963101,3.0963135748804747,0.005200000000002092,0.0242,0.0149,0.0213
1707822204.2,-3.120213918798775,3.11488489062306,0.004400000000003956,0.0242,0.0149,0.0213
1707822204.3,-3.162931359172056,3.1318108862312766,0.002600000000001046,0.0242,0.0149,0.0213
1707822204.4,-3.2049262908215805,3.1486601229344577,0.001599999999996271,0.0242,0.0149,0.0213
1707822204.5,-3.2461360402025936,3.1650944131869014,0.0010999999999938836,0.0242,0.0149,0.0213
1707822204.6,-3.2861796353045443,3.181528703439345,0.0014000000000038426,0.0242,0.0149,0.0213
1707822204.7,-3.3250035570352945,3.198009716626618,0.002600000000001046,0.0242,0.0149,0.0213
1707822204.8,-3.362642311294019,3.2144962933148395,0.004300000000000637,0.0242,0.0149,0.0213
1707822204.9,-3.399290256856593,3.230683619179909,0.006100000000003547,0.0242,0.0149,0.0213
1707822205.0,-3.4356332840763666,3.2465238595775103,0.007899999999992247,0.0299,0.0197,0.0247
1707822205.1,-3.472014338074022,3.2615898307608098,0.009399999999999409,0.0247,0.0132,0.0217
1707822205.2,-3.508741154063305,3.2748992365583267,0.009699999999995157,0.0247,0.0132,0.0217
1707822205.3,-3.5456785255984284,3.286536622087376,0.008899999999997021,0.0247,0.0132,0.0217
1707822205.4,-3.58266730375446,3.2963918580518983,0.007199999999997431,0.0247,0.0132,0.0217
1707822205.5,-3.6195962249007203,3.3047541785673458,0.004899999999992133,0.0247,0.0132,0.0217
1707822205.6,-3.656775841009914,3.312283270345212,0.0027999999999934744,0.0247,0.0132,0.0217
1707822205.7,-3.6938420810731913,3.319877997564438,0.0014999999999929514,0.0247,0.0132,0.0217
